title,url,timestamp,source,category,compound,positive,negative,neutral,keyword_sentiment,classification
Will consumer stocks see a comeback this festive season? 12 stocks to keep an eye on even when analysts are not bullish,https://economictimes.indiatimes.com/markets/stocks/news/will-consumer-stocks-see-a-comeback-this-festive-season-12-stocks-to-keep-an-eye-on-even-when-analysts-are-not-bullish/articleshow/122797405.cms,2025-07-20 17:58,Economic Times,Markets,0.2938772727272727,0.143,0.0,0.857,0.045454545454545456,Bullish
How global forces are reshaping base metal prices,https://economictimes.indiatimes.com/markets/stocks/news/how-global-forces-are-reshaping-base-metal-prices/articleshow/122797289.cms,2025-07-20 17:58,Economic Times,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
"Apollo Tyres, Brigade Enterprises among 10 small-cap stocks trading below industry PE; may rally up to 43%",https://economictimes.indiatimes.com/markets/stocks/news/apollo-tyres-brigade-enterprises-among-10-small-cap-stocks-trading-below-industry-pe-may-rally-up-to-43/slideshow/122796421.cms,2025-07-20 17:58,Economic Times,Markets,0.08823529411764706,0.0,0.0,1.0,0.17647058823529413,Neutral
"July 22–25: Critical time windows could trigger Nifty reversals, says Harshubh Shah",https://economictimes.indiatimes.com/markets/stocks/news/july-2225-critical-time-windows-could-trigger-nifty-reversals-says-harshubh-shah/articleshow/122797239.cms,2025-07-20 17:58,Economic Times,Markets,0.05135,0.18,0.153,0.667,0.0,Neutral
How to Calculate Dividend Yield: A key metric for income investors,https://economictimes.indiatimes.com/markets/stocks/news/how-to-calculate-dividend-yield-a-key-metric-for-income-investors/slideshow/122796207.cms,2025-07-20 17:58,Economic Times,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
Will meaningful profit growth continue to elude Corporate India?,https://economictimes.indiatimes.com/markets/stocks/news/will-meaningful-profit-growth-continue-to-elude-corporate-india/articleshow/122795893.cms,2025-07-20 17:58,Economic Times,Markets,0.500261111111111,0.565,0.0,0.435,0.2222222222222222,Bullish
Ahead of Market: 10 things that will decide D-Street action on Monday,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-d-street-action-on-monday/articleshow/122795428.cms,2025-07-20 17:58,Economic Times,Markets,0.0,0.0,0.0,1.0,0.0,Neutral
How to trade RIL shares after Q1 earnings,https://economictimes.indiatimes.com/markets/stocks/news/how-to-trade-ril-shares-after-q1-earnings/articleshow/122795242.cms,2025-07-20 17:58,Economic Times,Markets,0.148,0.239,0.0,0.761,0.0,Bullish
"F&O Talk | Nifty just in pause mode, all-time high possible before Diwali: Rahul Ghose",https://economictimes.indiatimes.com/markets/stocks/news/nifty-just-in-pause-mode-all-time-high-possible-before-diwali-rahul-ghose/articleshow/122795198.cms,2025-07-20 17:58,Economic Times,Markets,0.20095,0.162,0.0,0.838,0.0,Bullish
"FPIs exit secondary market in July, but stay active in IPOs. What’s fueling the shift?",https://economictimes.indiatimes.com/markets/stocks/news/fpis-exit-secondary-market-in-july-but-stay-active-in-ipos-whats-fueling-the-shift/articleshow/122794621.cms,2025-07-20 17:58,Economic Times,Markets,0.27495,0.202,0.0,0.798,0.0,Bullish
"Don’t fear volatility, focus on businesses: 5 mid-cap stocks from different sectors with upside potential of up to 27%",https://economictimes.indiatimes.com/markets/stocks/news/dont-fear-volatility-focus-on-businesses-5-mid-cap-stocks-from-different-sectors-with-upside-potential-of-up-to-27/articleshow/122794220.cms,2025-07-20 17:58,Economic Times,Markets,-0.24695,0.0,0.151,0.849,0.0,Bearish
"M-cap of 6 of top-10 most valued firms slumps Rs 94,433 crore; TCS, RIL top laggards",https://economictimes.indiatimes.com/markets/stocks/news/m-cap-of-6-of-top-10-most-valued-firms-slumps-rs-94433-crore-tcs-ril-top-laggards/articleshow/122794323.cms,2025-07-20 17:58,Economic Times,Markets,0.30575,0.263,0.0,0.737,0.0,Bullish
